alpha,beta,gamma,tau,rouge1,rouge2,rougeL,factKB,bert_f1,composite_score
0.05,0.9,0.0,0.1,24.85,6.8,17.88,0.315,0.6444,34.3
0.05,0.95,0.0,0.1,24.85,6.8,17.88,0.315,0.6444,34.3
0.05,1.0,0.0,0.1,24.85,6.8,17.88,0.315,0.6444,34.3
0.1,0.9,0.0,0.1,24.55,6.45,17.62,0.3371,0.6466,34.66
0.1,0.95,0.0,0.1,24.55,6.45,17.62,0.3371,0.6466,34.66
0.1,1.0,0.0,0.1,24.85,6.8,17.88,0.315,0.6444,34.3
0.2,0.9,0.0,0.1,24.85,6.8,17.88,0.315,0.6444,34.3
0.2,0.95,0.0,0.1,24.85,6.8,17.88,0.315,0.6444,34.3
0.2,1.0,0.0,0.1,24.85,6.8,17.88,0.315,0.6444,34.3
0.3,0.9,0.0,0.1,24.85,6.8,17.88,0.315,0.6444,34.3
0.3,0.95,0.0,0.1,24.55,6.45,17.62,0.3371,0.6466,34.66
0.3,1.0,0.0,0.1,24.85,6.8,17.88,0.315,0.6444,34.3
